ID.x,Last_Season,target,predicted_label,Diff,min_label,mean_label,max_label,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Devin Singletary - 40485,2018,0.4899172765559338,0.47623134,-0.013685939962305882,0.44939402,0.4714405,0.49484292,3,0.9845665002269632,0.8465728551974581,0.9337267362687245,0.9623241034952338,0.9514298683613255,0.5734424738517508,0.928679055750879,0.5974106041923551,0.8785450061652281,0.9863822060826146,0.8756241488878802,0.9314571039491603,0.9491602360417613,0.9464366772582842,0.6604460628129267,0.9628876461616676,0.7064910630291628,0.9379115710253998,0.9359963685882887,0.7249205628688152,0.8529278256922379,0.9509759418974126,0.9455288243304585,0.22940373236231223,0.5983731570920183,0.7064910630291628,0.9379115710253998,0,67.5,203.0,28.875,70.0,15.0,1.53,4.66,35.0,117.0,7.32,4.4,4.462
Christian McCaffrey - 11763,2016,0.5895426894178357,0.47378314,-0.11575955400371218,0.43067026,0.47281212,0.51653206,3,0.9664094416704494,0.7530640036314117,0.9182932364956877,0.21788470267816615,0.42941443486155245,0.992269213278763,0.9954796584630838,0.9963008631319359,0.9981504315659679,0.9959146618247844,0.672719019518838,0.9700408533817522,0.4752610077167499,0.5347253744893328,0.9968138370505234,0.99644128113879,0.5653809971777987,0.658513640639699,0.35088515660463004,0.8220608261461643,0.8166137085792101,0.0,0.45528824330458467,0.9335457441966317,0.9476359938993391,0.5653809971777987,0.658513640639699,1,71.25,202.0,30.0,71.63,10.0,1.52,4.48,37.5,121.0,6.57,4.22,4.482
Kareem Hunt - 11841,2016,0.7430161071081132,0.4669392,-0.27607689621638953,0.43120205,0.47118434,0.52613163,3,0.9700408533817522,0.8638220608261462,0.9105764866091693,0.8016341352700862,0.9083068542896051,0.599818099135971,0.9603214465092919,0.8458692971639951,0.9334155363748459,0.9600544711756696,0.8951429868361326,0.9223785746709033,0.7966409441670449,0.9491602360417613,0.9076012744651798,0.9959328927300457,0.9774223894637818,0.9915333960489181,0.9605083976395824,0.8542896050839764,0.817067635043123,0.6659101225601453,0.8465728551974581,0.27401001365498406,0.48398576512455516,0.9774223894637818,0.9915333960489181,0,70.5,216.0,31.38,74.13,18.0,1.56,4.62,36.5,119.0,7.22,4.3420000000000005,4.536
Rashaad Penny - 27414,2017,0.430335612441817,0.46181536,0.03147974476643495,0.4479862,0.48427224,0.54320776,3,0.8928733545165684,0.6935996368588289,0.9387199273717658,0.917385383567862,0.9282796187017703,0.9708958617553434,0.9256654947262682,0.8588162762022195,0.9013563501849569,0.9809350885156605,0.7458011802088061,0.9083068542896051,0.8347707671357241,0.9600544711756696,0.9858898497951752,0.9201830198271479,0.7920978363123237,0.8936970837253058,0.5705855651384476,0.5760326827054018,0.9273717657739446,0.9001361779391739,0.43032228778937814,0.7783340919435594,0.8566344687341129,0.7920978363123237,0.8936970837253058,0,71.0,220.0,31.25,76.0,13.0,1.56,4.46,32.5,120.0,7.215999999999999,4.33,4.494000000000001
Javonte Williams - 77803,2020,0.3417728788958028,0.46006036,0.11828747915168253,0.40611017,0.4503351,0.50776994,3,0.7684975034044484,0.9827507943713119,0.9591466182478439,0.9609623241034952,0.9414434861552429,0.8613005911778081,0.9703666499246609,0.9482120838471023,0.9845869297163995,0.781661370857921,0.9913753971856559,0.976395823876532,0.9754879709487063,0.9432591920108943,0.7965407373691398,0.9664463650228775,0.5653809971777987,0.658513640639699,0.36768043576940534,0.9618701770313209,0.8692691783931004,0.5256468452110759,0.8511121198365865,0.8757396449704142,0.8596847991865786,0.5653809971777987,0.658513640639699,1,69.625,212.0,30.875,74.875,18.8,1.544,4.508,34.4,121.4,6.998,4.332,4.46
Breece Hall - 97636,2021,0.6843752005769346,0.4585157,-0.22585949689880347,0.4088542,0.4502603,0.49734393,3,0.9841125737630504,0.879255560599183,0.6441216522923287,0.8642759872900591,0.7008624602814344,0.6648476580263756,0.9874434957307886,0.9161528976572133,0.9808877928483354,0.9750340444847935,0.8511121198365865,0.5247389922832502,0.811166591012256,0.6890603722197004,0.5862539827036869,0.9913573970513472,0.9501411100658513,0.9887111947318908,0.9627780299591466,0.8456650022696324,0.7294598275079437,0.7871084884248751,0.6300499319110304,0.6540737369139736,0.9603457041179461,0.9501411100658513,0.9887111947318908,1,71.25,217.0,31.25,75.875,21.4,1.54,4.39,40.0,126.0,7.010000000000001,4.182,4.57
DAndre Swift - 57212,2019,0.33509043696935886,0.45668316,0.12159272190515286,0.40966776,0.47451353,0.540007,3,0.8574670903313664,0.7394462097140263,0.94416704493872,0.5674080798910577,0.9300953245574217,0.9040472942246476,0.9623304871923657,0.9494451294697904,0.9445129469790382,0.855651384475715,0.669541534271448,0.9019518837948253,0.5996368588288697,0.9092147072174308,0.8984979517523897,0.9481443823080834,0.9482596425211665,0.9285042333019755,0.7299137539718565,0.7385383567862006,0.9477984566500227,0.6187017703132093,0.9010440308669996,0.8420573509330905,0.9527198779867819,0.9482596425211665,0.9285042333019755,1,68.25,212.0,29.875,72.0,20.0,1.56,4.48,35.5,121.0,7.045999999999999,4.3420000000000005,4.4
Kyren Williams - 97118,2021,0.4969590801190138,0.45504948,-0.04190959515082837,0.41995466,0.44606265,0.45770395,2,0.9627780299591466,0.8134362233318202,0.5138447571493419,0.8433953699500681,0.8234226055379028,0.8740336516598454,0.9869412355600201,0.9759556103575833,0.9839704069050554,0.891057648660917,0.8474807081252838,0.4094416704493872,0.6849750340444848,0.7380844303222878,0.7778789258079198,0.9801728520589731,0.9595484477892756,0.9727187206020697,0.9804811620517476,0.7362687244666364,0.6445755787562415,0.8778937812074444,0.8334089877439855,0.9053254437869822,0.9720386375190646,0.9595484477892756,0.9727187206020697,1,69.25,194.0,28.625,69.875,16.2,1.62,4.65,32.0,116.0,7.054,4.286,4.48
Karlos Williams - 9588,2014,0.49216450517141314,0.4548913,-0.0372732109304616,0.3843162,0.43140763,0.47078636,1,0.8683613254652747,0.3082160689968225,0.7625964593735814,0.9359963685882887,0.30640036314117114,0.7867212369258754,0.9844299347061778,0.9599260172626387,0.9778051787916153,0.7330912392192465,0.23467998184294145,0.5755787562414889,0.8120744439400817,0.22469359963685884,0.6208466090122895,0.9410269445856635,0.9012229539040452,0.9143932267168391,0.9282796187017703,0.4820699046754426,0.8565592374035407,0.9541534271448026,0.5183840217884703,0.864815657715066,0.9933909506863243,0.9012229539040452,0.9143932267168391,1,72.75,230.0,33.0,80.375,16.0,1.6,4.48,33.5,117.0,7.16,4.46,4.569999999999999
Royce Freeman - 45747,2017,0.09948812676293455,0.4524986,0.35301048802512086,0.41814917,0.46299815,0.5122342,4,0.982296867907399,0.7476168860644575,0.879255560599183,0.8220608261461643,0.7966409441670449,0.6498408367439745,0.9542943244600703,0.7367447595561035,0.9272503082614056,0.9782115297321834,0.7671357240127099,0.8538356786200636,0.7131184748070812,0.8506581933726737,0.6923076923076923,0.9842399593289273,0.883349012229539,0.9764816556914393,0.9505220154334998,0.5651384475714935,0.8157058556513844,0.825692237857467,0.4058102587380844,0.6385980883022303,0.4382308083375699,0.883349012229539,0.9764816556914393,1,71.5,229.0,32.0,76.75,17.0,1.59,4.54,34.0,118.0,6.9,4.16,4.558
