,ID.x,ID.y,similarity
423,Messiah Burch - 171198,Jermar Jefferson - 83740,84.78
424,Messiah Burch - 171198,Will Shipley - 144138,83.85
425,Anderson Castle - 122234,Trayveon Williams - 45775,89.5
426,Anderson Castle - 122234,Rasheen Ali - 121717,89.3
427,Anderson Castle - 122234,Jermar Jefferson - 83740,86.95
428,Anderson Castle - 122234,Eric Gray - 99143,85.68
429,Anderson Castle - 122234,Will Shipley - 144138,82.3
430,Terion Stewart - 130386,Trayveon Williams - 45775,88.79
431,Terion Stewart - 130386,Eric Gray - 99143,82.26
432,Terion Stewart - 130386,DeAndre Washington - 10777,81.23
433,Terion Stewart - 130386,Rasheen Ali - 121717,80.97
434,Terion Stewart - 130386,Blake Corum - 129574,75.68
435,Kyson Brown - 176525,Justin Crawford - 29310,81.47
436,Kyson Brown - 176525,Bryce Love - 38396,80.52
437,Kyson Brown - 176525,Kyle Hicks - 45714,78.99
438,Kyson Brown - 176525,Josh Ferguson - 10907,75.95
439,Kyson Brown - 176525,Rasheen Ali - 121717,75.62
440,JaQuinden Jackson - 123119,Hassan Haskins - 83701,95.34
441,JaQuinden Jackson - 123119,Kalen Ballage - 45741,87.09
442,JaQuinden Jackson - 123119,Elijah Hood - 11997,78.68
443,JaQuinden Jackson - 123119,Stevie Scott - 83680,69.11
444,JaQuinden Jackson - 123119,Benny Snell - 45954,68.32
