ID.x,Last_Season,predicted_label,min_label,mean_label,max_label,Seasons,Attempts,ForcedMissedTackleRate,ExplosiveRate,TDP,YardsAfterContact,YPRR,WAR,RushWAR,RecWAR,best_Attempts,best_ForcedMissedTackleRate,best_ExplosiveRate,best_TDP,best_YardsAfterContact,best_YPRR,best_WAR,best_RushWAR,best_RecWAR,worst_Attempts,worst_ForcedMissedTackleRate,worst_ExplosiveRate,worst_TDP,worst_YardsAfterContact,worst_YPRR,worst_WAR,worst_RushWAR,worst_RecWAR,Strength_Power 5,ht_in,wt,arm_in,wing_in,c_reps,c_10y,c_40y,c_vj_in,c_bj_in,c_3c,c_ss20,est_40y
Kye Robichaux - 145532,2024,0.37,-4.72,-0.35,4.52,4,0.7585111211983658,0.37085792101679527,0.4997730367680436,0.6218792555605992,0.5624148887880164,0.5002273760800364,0.2466097438473129,0.28545006165228115,0.3094944512946979,0.8039037675896504,0.5964593735814798,0.716749886518384,0.548797094870631,0.6386745347253745,0.7464724624487938,0.581596339603457,0.431796801505174,0.45625587958607716,0.6413980935088516,0.13209260099863823,0.36858828869723104,0.7126645483431684,0.5283704039945529,0.30996813837050524,0.19115404168784952,0.431796801505174,0.45625587958607716,1,70.775,219.2,30.8,74.55,17.4,1.562,4.606,32.5,120.4,7.256,4.336,4.566
Zylan Perry - 156734,2024,0.34,-3.64,0.5,4.03,2,0.5456196096232411,0.628234226055379,0.8824330458465729,0.41216522923286425,0.6863368134362233,0.19190541155070487,0.06328478151682572,0.11837237977805179,0.10974106041923551,0.5701316386745348,0.5220154334997731,0.8143440762596459,0.28778937812074445,0.7063095778483885,0.1615839781520255,0.05134722928317234,0.5653809971777987,0.658513640639699,0.5170222423967318,0.7280980481162052,0.8774398547435316,0.6191556967771221,0.6146164321379937,0.34820209376422395,0.2018301982714794,0.5653809971777987,0.658513640639699,0,70.725,211.6,30.675,73.85,20.0,1.558,4.522,33.8,120.0,7.158000000000001,4.319999999999999,4.545999999999999
Alex Tecza - 162587,2024,0.27,-6.23,0.32,5.76,2,0.7793917385383567,0.33908306854289605,0.3159328188833409,0.6831593281888334,0.5678620063549705,0.9499772623919963,0.7639377197388247,0.5110974106041923,0.6270036991368682,0.6364049024058103,0.3427144802541988,0.2850658193372674,0.6427598729005901,0.44303222877893783,0.9781520254893036,0.5856634468734113,0.5653809971777987,0.658513640639699,0.8842487517022243,0.3990013617793917,0.4126191556967771,0.6867907399001362,0.6976849750340445,0.6868456986800182,0.8759532282663955,0.5653809971777987,0.658513640639699,0,70.301,218.8,31.325,75.601,19.4,1.6280000000000001,4.6579999999999995,36.1,119.8,7.206,4.3,4.554
Jaquez Moore - 143866,2024,0.21,-2.35,-0.33,1.76,3,0.4938719927371766,0.6622787108488425,0.5692237857467091,0.6246028143440763,0.6463912846118929,0.31468849477035016,0.32395781014565544,0.5480887792848336,0.4475955610357583,0.5891965501588743,0.5506128007262824,0.8206990467544257,0.601906491148434,0.8175215615070358,0.5502958579881657,0.646670055922725,0.5653809971777987,0.658513640639699,0.17657739446209714,0.7417158420335905,0.14207898320472084,0.5406264185201998,0.20517476168860643,0.1570323167956304,0.19522114895780376,0.5653809971777987,0.658513640639699,1,70.9,214.6,30.95,74.65,18.6,1.5420000000000003,4.5680000000000005,33.4,119.4,7.168000000000001,4.204,4.526
Jerrick Gibson - 184509,2024,0.21,-6.5,-0.59,2.98,1,0.5079437131184749,0.37358147980027234,0.7185655923740354,0.6704493871992737,0.5329096686336814,0.5852660300136425,0.43797086891009546,0.5110974106041923,0.6270036991368682,0.40308669995460733,0.2864275987290059,0.5356332274171585,0.4693599636858829,0.37857467090331365,0.41920801092398724,0.273512963904423,0.5653809971777987,0.658513640639699,0.7081252837040399,0.5560599182932365,0.8261461643213799,0.8029959146618247,0.7090331366318656,0.7460172963131543,0.6553126588713777,0.5653809971777987,0.658513640639699,1,70.55,220.2,30.65,74.35,22.0,1.5979999999999999,4.568,34.2,117.0,7.204000000000001,4.302,4.555999999999999
Braylen Russell - 184393,2024,0.03,-6.75,-2.22,1.56,1,0.4144348615524285,0.30276895142986837,0.6858828869723105,0.5696777122106219,0.4593735814798003,0.14279217826284674,0.23254645906579607,0.42231812577065353,0.33415536374845867,0.34679981842941443,0.23195642305946437,0.49931911030413073,0.3917385383567862,0.32228778937812075,0.11834319526627218,0.15149974580579562,0.2558795860771402,0.264346190028222,0.6350431230140717,0.4725374489332728,0.8107126645483431,0.7467090331366318,0.6545619609623241,0.325898953117888,0.49771225216065074,0.2558795860771402,0.264346190028222,1,70.575,217.6,30.875,74.05,23.6,1.568,4.4959999999999996,32.1,116.4,7.226000000000001,4.328,4.569999999999999
Peyton Lewis - 184885,2024,0.0,-2.09,0.32,1.94,1,0.38538356786200634,0.2646391284611893,0.6177939173853836,0.6032682705401725,0.6881525192918747,0.23419736243747158,0.38824711200401807,0.5110974106041923,0.6270036991368682,0.33136631865637767,0.1979119382660009,0.4339536995006809,0.41307308216068994,0.4997730367680436,0.17114246700045516,0.24046771733604475,0.5653809971777987,0.658513640639699,0.6082614616432138,0.42351339083068545,0.7635043123014071,0.7662278710848842,0.807989105764866,0.432407828857533,0.621250635485511,0.5653809971777987,0.658513640639699,1,70.9,220.0,30.675,73.85,24.8,1.572,4.53,31.2,117.4,7.2379999999999995,4.354000000000001,4.52
Sevion Morrison - 129705,2024,-0.11,-2.76,0.16,2.6,2,0.04675442578302315,0.34226055379028597,0.082614616432138,0.9541534271448026,0.6863368134362233,0.5165984538426558,0.4445002511300854,0.5110974106041923,0.6270036991368682,0.058102587380844305,0.40807989105764864,0.44620971402632775,0.9251021334543804,0.8660916931457104,0.6053709604005462,0.3751906456532791,0.5653809971777987,0.658513640639699,0.08352246935996369,0.3109396277802996,0.0,0.9210167952791648,0.2746255106672719,0.38233955393718705,0.5729537366548043,0.5653809971777987,0.658513640639699,1,71.975,224.4,31.3,75.45,21.8,1.582,4.632000000000001,34.6,119.8,7.036,4.236,4.498
Joseph Himon - 162843,2024,-0.13,-3.45,-0.0,2.91,2,0.2038129822968679,0.94098955969133,0.6141625056740808,0.15524285065819338,0.7308216068996822,0.8763074124602092,0.292817679558011,0.10974106041923551,0.07398273736128237,0.24738992283250114,0.9042215161143895,0.8002723558783477,0.3100317748524739,0.9369042215161144,0.9308147473827947,0.5744789018810371,0.5653809971777987,0.658513640639699,0.21697684975034046,0.9423513390830686,0.32728098048116205,0.0,0.1348161597821153,0.6540737369139736,0.16319267920691408,0.5653809971777987,0.658513640639699,1,69.926,208.2,30.625,73.225,20.8,1.544,4.552,36.5,120.4,7.093999999999999,4.234,4.538
Anthony Hankerson - 157691,2024,-0.22,-7.0,-1.05,1.66,3,0.7830231502496595,0.7775760326827054,0.2392192464820699,0.4938719927371766,0.34997730367680435,0.27103228740336516,0.2968357609241587,0.1905055487053021,0.3908754623921085,0.9223785746709033,0.8356786200635498,0.2029051293690422,0.6409441670449387,0.4257830231502497,0.23076923076923078,0.5821047280122014,0.5503292568203199,0.5014111006585137,0.6413980935088516,0.6740807989105765,0.3345438039037676,0.23967317294598275,0.2401270994098956,0.42330450614474285,0.13268937468225725,0.5503292568203199,0.5014111006585137,1,70.727,217.4,30.326,73.627,21.0,1.56,4.588,31.1,116.4,7.0859999999999985,4.242,4.548
Billy Lucas - 109083,2024,-0.25,-4.39,-1.25,1.43,2,0.7535179300953245,0.3604176123467998,0.7621425329096686,0.5991829323649569,0.47889241942805266,0.40063665302410184,0.24359618282270215,0.4087546239210851,0.3033292231812577,0.625510667271902,0.2850658193372674,0.6627326373127553,0.48252383113935543,0.3831139355424421,0.29904415111515703,0.18556176919166242,0.28033866415804326,0.25870178739416744,0.8629142078983205,0.5338175215615071,0.8093508851566046,0.7072174307762142,0.6146164321379937,0.593536640873919,0.4677173360447382,0.28033866415804326,0.25870178739416744,0,69.8,218.4,30.75,73.725,23.4,1.6,4.606,33.9,118.0,7.242,4.3420000000000005,4.58
Lexington Joseph - 97104,2024,-0.31,-0.73,1.92,6.21,3,0.5360871538810713,0.8765320018157059,0.3413527008624603,0.3554244212437585,0.6227871084884249,0.45566166439290584,0.89251632345555,0.8360049321824907,0.8347718865598027,0.5524285065819338,0.9605083976395824,0.3681343622333182,0.41125737630503856,0.7557875624148888,0.4437869822485207,0.8983223182511438,0.845719661335842,0.8447789275634995,0.5474353154788925,0.7644121652292328,0.4126191556967771,0.3050385837494326,0.41625056740807986,0.4528903049613109,0.8683274021352313,0.845719661335842,0.8447789275634995,0,69.5,209.6,30.1,73.05,17.8,1.562,4.554,34.4,120.2,7.081999999999999,4.348000000000001,4.494
Kaleb Jackson - 172483,2024,-0.36,-2.91,-0.11,2.96,2,0.14798002723558784,0.7280980481162052,0.27008624602814346,0.8370403994552883,0.6790739900136178,0.827194179172351,0.6594676042189854,0.5110974106041923,0.6270036991368682,0.19064911484339536,0.8601906491148434,0.5905583295506128,0.9809350885156605,0.7249205628688152,0.8452435138825671,0.5699034062023386,0.5653809971777987,0.658513640639699,0.15660463004993191,0.44121652292328645,0.076713572401271,0.0,0.566500226963232,0.7155211652253073,0.6919166243009659,0.5653809971777987,0.658513640639699,1,71.125,213.4,30.725,74.075,21.4,1.5420000000000003,4.576,35.6,118.0,7.08,4.33,4.522
Jamious Griffin - 97189,2024,-0.38,-6.48,-0.56,3.65,4,0.3477076713572401,0.5501588742623695,0.6450295052201543,0.415796640944167,0.7625964593735814,0.3806275579809004,0.5765946760421898,0.5992601726263872,0.5912453760789149,0.442578302315025,0.8347707671357241,0.8978665456196097,0.5142986836132547,0.7680435769405356,0.6404187528447883,0.5678698525673614,0.5653809971777987,0.658513640639699,0.23831139355424422,0.11030413073082161,0.11983658647299138,0.0,0.7480708125283704,0.325898953117888,0.5277071682765633,0.5653809971777987,0.658513640639699,1,70.325,213.6,30.65,73.6,19.4,1.5459999999999998,4.608,35.8,122.8,7.072,4.279999999999999,4.522
Elijah Young - 124223,2024,-0.52,-8.07,-1.44,3.54,3,0.7326373127553336,0.7557875624148888,0.2292328642759873,0.19655015887426236,0.36495687698592827,0.8390177353342428,0.9522852837769965,0.969790382244143,0.9673242909987669,0.8629142078983205,0.6940535633227417,0.20880617339990923,0.19836586472991374,0.3336359509759419,0.7182521620391443,0.9806812404677173,0.5653809971777987,0.658513640639699,0.2741715842033591,0.7793917385383567,0.27598729005901046,0.2723558783477077,0.4058102587380844,0.8807464724624487,0.900355871886121,0.5653809971777987,0.658513640639699,0,69.8,200.4,30.451,74.051,16.8,1.6019999999999999,4.65,34.2,119.2,7.172,4.287999999999999,4.55
Richard Young - 175877,2024,-0.78,-3.24,-1.0,0.95,1,0.022696323195642305,0.40036314117113025,0.021334543803903767,0.905583295506128,0.970494779845665,0.19326966803092316,0.36865896534404824,0.5110974106041923,0.6270036991368682,0.022696323195642305,0.3041307308216069,0.021334543803903767,0.7471629596005447,0.9092147072174308,0.14519799726900318,0.2277580071174377,0.5653809971777987,0.658513640639699,0.05674080798910577,0.5832955061280073,0.04993191103041307,0.9328188833408988,0.9795733091239219,0.38233955393718705,0.6039654295882054,0.5653809971777987,0.658513640639699,1,72.525,227.4,31.85,76.875,20.6,1.574,4.609999999999999,32.8,121.0,7.128,4.353999999999999,4.508
Delbert Mimms - 99609,2024,-0.88,-4.81,-0.75,3.98,3,0.6722650930549251,0.5483431684067182,0.06808896958692692,0.5537902859736723,0.30640036314117114,0.7421555252387448,0.26670015067805125,0.18927250308261406,0.17940813810110975,0.8220608261461643,0.4416704493871993,0.11983658647299138,0.8406718111665911,0.45619609623241036,0.8893946290395994,0.49517031011692936,0.5653809971777987,0.658513640639699,0.05674080798910577,0.6454834316840672,0.04993191103041307,0.0,0.25329096686336816,0.432407828857533,0.24046771733604475,0.5653809971777987,0.658513640639699,0,71.225,216.8,31.026,73.901,20.8,1.5420000000000003,4.537999999999999,33.0,121.2,7.072,4.306,4.529999999999999
AlJay Henderson - 145676,2024,-0.94,-6.86,-1.7,1.72,2,0.8048116205174761,0.23558783477076714,0.40717203812982294,0.6128007262823423,0.41625056740807986,0.7276034561164165,0.837769964841788,0.7589395807644883,0.7540073982737361,0.8710848842487517,0.39854743531547887,0.5274625510667272,0.46482069904675444,0.6650022696323196,0.6923076923076923,0.7920691408235893,0.6406396989651929,0.6792097836312324,0.5642305946436678,0.10894235133908307,0.3000453926463913,0.7408079891057648,0.15433499773036768,0.6936731907146109,0.8307066598881545,0.6406396989651929,0.6792097836312324,0,70.55,221.2,31.026,74.426,18.2,1.6320000000000001,4.6659999999999995,33.6,116.2,7.109999999999999,4.3180000000000005,4.5600000000000005
Cam Barfield - 162657,2024,-1.06,-5.52,-2.3,-0.52,1,0.08851566046300499,0.8738084430322288,0.46209714026327736,0.0,0.7839310031774852,0.954524783992724,0.5323957810145655,0.5110974106041923,0.6270036991368682,0.0817067635043123,0.7585111211983658,0.32410349523377213,0.0,0.6028143440762597,0.9039599453800637,0.3416370106761566,0.5653809971777987,0.658513640639699,0.17657739446209714,0.9260099863822061,0.6559237403540626,0.0,0.867453472537449,0.9685935366408739,0.7320793085917641,0.5653809971777987,0.658513640639699,0,70.275,214.4,30.825,74.326,19.0,1.5779999999999998,4.614,33.3,117.2,7.186,4.288,4.4879999999999995
